compound,coverage,aac_std,manual_moa_class,pubchem_link,chembl_link,google_link
BMS-195614,502,0.04130034,,https://pubchem.ncbi.nlm.nih.gov/#query=BMS-195614,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BMS-195614,https://www.google.com/search?q=BMS-195614%20mechanism%20of%20action
Procarbazine,500,0.04180623,,https://pubchem.ncbi.nlm.nih.gov/#query=Procarbazine,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Procarbazine,https://www.google.com/search?q=Procarbazine%20mechanism%20of%20action
GANT-61,500,0.05782353,,https://pubchem.ncbi.nlm.nih.gov/#query=GANT-61,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=GANT-61,https://www.google.com/search?q=GANT-61%20mechanism%20of%20action
BRD-K28456706,500,0.07053958,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K28456706,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K28456706,https://www.google.com/search?q=BRD-K28456706%20mechanism%20of%20action
selumetinib:JQ-1 (4:1 mol/mol),500,0.16346516,,https://pubchem.ncbi.nlm.nih.gov/#query=selumetinib%3AJQ-1%20%284%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=selumetinib%3AJQ-1%20%284%3A1%20mol/mol%29,https://www.google.com/search?q=selumetinib%3AJQ-1%20%284%3A1%20mol/mol%29%20mechanism%20of%20action
CAY10594,499,0.042087812,,https://pubchem.ncbi.nlm.nih.gov/#query=CAY10594,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CAY10594,https://www.google.com/search?q=CAY10594%20mechanism%20of%20action
BRD-K66453893,499,0.08103604,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K66453893,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K66453893,https://www.google.com/search?q=BRD-K66453893%20mechanism%20of%20action
ISOX:bortezomib (250:1 mol/mol),498,0.060578655,,https://pubchem.ncbi.nlm.nih.gov/#query=ISOX%3Abortezomib%20%28250%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ISOX%3Abortezomib%20%28250%3A1%20mol/mol%29,https://www.google.com/search?q=ISOX%3Abortezomib%20%28250%3A1%20mol/mol%29%20mechanism%20of%20action
BRD-A71883111,498,0.0414731,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-A71883111,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-A71883111,https://www.google.com/search?q=BRD-A71883111%20mechanism%20of%20action
Isoevodiamine,496,0.088554375,,https://pubchem.ncbi.nlm.nih.gov/#query=Isoevodiamine,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Isoevodiamine,https://www.google.com/search?q=Isoevodiamine%20mechanism%20of%20action
BRD-K97651142,495,0.16656478,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K97651142,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K97651142,https://www.google.com/search?q=BRD-K97651142%20mechanism%20of%20action
