compound,model_family,strategy,omics_layer,fold,weight,weight_fraction
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.7513324785171376,0.7183023984452772
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.0,0.0
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.05616966191822782,0.05370033111752815
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.23848138982062705,0.2279972704371946
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.0,0.0
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.6574075683399592,0.5437880365419276
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.0,0.0
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.07664097320948407,0.06339513925202647
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.47489230334402666,0.3928168242060458
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.0,0.0
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.9413460841669795,0.6591241040992296
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.26525773816133524,0.18573165806037892
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.08120884545256414,0.05686187939180864
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.14036463344745256,0.09828235844858285
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.0,0.0
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.9558405680624641,0.9756379580628004
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.004856897357883472,0.004957493518371335
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.019010796402874855,0.019404548418828323
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.0,0.0
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.0,0.0
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.8333181539032024,0.6310180486728932
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.026678728974671995,0.02020207938566764
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.0,0.0
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.3226906942239609,0.24435283359704393
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.13790563834702646,0.10442703834439522
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.8873972908929393,0.5470263201391072
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.3749726122501507,0.23114775122397246
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.0958702119155087,0.05909813988988636
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.26398034897186473,0.162727788747034
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.0,0.0
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.9853916764825542,0.7614835546838976
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.13834398744228268,0.10690842417376459
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.17030630247272244,0.13160802114233786
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.0,0.0
Leptomycin B,RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.9439332573961353,0.7839908375518132
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.04744710524888445,0.039407548671495984
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.017011032563607448,0.014128640518454492
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.19561917759829242,0.1624729732582363
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.9370715756803453,0.901765102123424
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.10208105228649844,0.09823489787657598
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.8346350998575269,0.7886576552187846
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.015731152945425476,0.01486457279108575
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.17786573781313617,0.1680676690345424
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.030066365247822458,0.028410102955587282
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.9541282819355413,0.715155253191462
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.23464451160491767,0.17587494080606084
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.11503458833872948,0.08622277706963255
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.030348072726835585,0.022747028932844537
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.8858445186928636,0.8344688031587033
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.12287563540378138,0.11574930165404056
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.0,0.0
KX2-391,RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.052846815620723214,0.04978189518725621
ML210,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.5818096446210297,0.42144730238452593
ML210,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.3221742209959071,0.23337436495230857
ML210,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.06038669638711748,0.043742503287035
ML210,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.4161333380783105,0.30143582937613056
ML210,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.0,0.0
ML210,RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.725506730068,0.4679445492600706
ML210,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.5237222901943908,0.3377956135561912
ML210,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.0011975857517080926,0.0007724307736343134
ML210,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.2999851494282827,0.1934874064101039
ML210,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.0,0.0
ML210,RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.9421516022257908,0.7607984183654712
ML210,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.0,0.0
ML210,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.0,0.0
ML210,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.08006991572340827,0.06465739175851504
ML210,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.2161506703762522,0.17454418987601375
ML210,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.8696395546940293,0.6900364455200266
ML210,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.044521254845765246,0.035326461725481165
ML210,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.0,0.0
ML210,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.3461198036655698,0.27463709275449205
ML210,RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.0,0.0
ML210,RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.8028742383948854,0.5930716809404425
ML210,RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.11082969441321347,0.08186830517213767
ML210,RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.0,0.0
ML210,RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.27432766923886476,0.20264191344491356
ML210,RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.16572421566760995,0.12241810044250634
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.6648060648593151,0.4203548004006014
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.5454508518542501,0.344886871644367
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.027066793305487134,0.01711424894991007
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.20998580974075512,0.13277337227543642
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.13422604073753852,0.08487070672968518
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.8235227917598765,0.6211475954134306
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.25247548246942686,0.19043132795583548
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.0,0.0
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.06080693675911934,0.045864040352384755
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.18900333731924107,0.14255703627834918
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.801098130667438,0.9833233734071674
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.0,0.0
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.0,0.0
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.013586186142475865,0.016676626592832595
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.0,0.0
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.8076477707455305,0.6430916038840754
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.0,0.0
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.0,0.0
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.035081289544183436,0.027933566557690418
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.4131538743771151,0.32897482955823426
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.6824769688274153,0.6319264222588892
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.0,0.0
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.0,0.0
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.2513236499281083,0.23270829959432215
CAY10618,RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.14619373626420754,0.13536527814678867
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.9004977688480492,0.6288388998480038
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.05117308034866547,0.035735372880994126
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.07811762892909609,0.05455138872509134
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.007924799032553217,0.0055340746835189514
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.39428746113201163,0.2753402638623916
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,expr,2,1.0034828942789111,0.9816570509174503
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.0,0.0
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.0,0.0
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.0,0.0
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.018750780242208703,0.01834294908254982
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.960094039303676,0.9558520877190743
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.0,0.0
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.044343835174083496,0.04414791228092561
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.0,0.0
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.0,0.0
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.9622646472250519,0.9601790642684668
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.0,0.0
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.03990742987410256,0.0398209357315332
Parbendazole,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.0,0.0
