compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
BI-2536,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,287,72,0.6921615700609591,0.6339314425364976,0.15951281849069188,0.12850723086843174,0.44765939786063613
BI-2536,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,287,72,0.423396549116767,0.5183934658177376,0.20893808350726614,0.1632738417782359,0.17678118492376393
BI-2536,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,287,72,0.5243216709974534,0.5532510129268764,0.16729202075604407,0.13655144454156862,0.27397556638040543
BI-2536,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,287,72,0.6157496786861991,0.5002572512701783,0.16987302887520123,0.1345889061153923,0.35904804056610573
BI-2536,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,288,71,0.4952419155686253,0.45231388329979877,0.17317902890282913,0.13928430383219678,0.23549915926526555
"1S,3R-RSL-3",RidgeCV,pathway_modules_lineage,multiomics_pathway,1,292,74,0.5355316822330445,0.5569344687152906,0.19015251315788426,0.1576985262078248,0.26698853791673616
"1S,3R-RSL-3",RidgeCV,pathway_modules_lineage,multiomics_pathway,2,293,73,0.4699614430684052,0.466709860545477,0.17439870638435356,0.1413487517879031,0.20567942747160461
"1S,3R-RSL-3",RidgeCV,pathway_modules_lineage,multiomics_pathway,3,293,73,0.44761304196391244,0.45214735283228447,0.18184898399670732,0.14511653448649742,0.17556615080343863
"1S,3R-RSL-3",RidgeCV,pathway_modules_lineage,multiomics_pathway,4,293,73,0.448425215947706,0.40485005553498715,0.17886272856317126,0.14618148476523196,0.1946442695288907
"1S,3R-RSL-3",RidgeCV,pathway_modules_lineage,multiomics_pathway,5,293,73,0.5424303813393014,0.529495248673331,0.17140072202315937,0.1414961445137999,0.28254033693080016
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules_lineage,multiomics_pathway,1,288,72,0.37610341233599875,0.31120972409801273,0.20237004311008103,0.16130771272083638,0.123737858699841
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules_lineage,multiomics_pathway,2,288,72,0.45358808511942156,0.4917358029455271,0.1967392303492836,0.14508700747607917,0.20040745312513075
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules_lineage,multiomics_pathway,3,288,72,0.4225426238025148,0.4020837352884431,0.17747484476787306,0.14548356780507626,0.16340110055777546
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules_lineage,multiomics_pathway,4,288,72,0.5089595150299928,0.47839089330503576,0.16283149663767119,0.13305941712606578,0.24145967005555402
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV,pathway_modules_lineage,multiomics_pathway,5,288,72,0.5694454266668771,0.5825776577271852,0.14228322889466385,0.1103187259288493,0.3200816892592855
Leptomycin B,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,298,75,0.4431187404487007,0.436728307254623,0.1716638620677678,0.14002351487749945,0.13517856540215956
Leptomycin B,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,298,75,0.444812359072867,0.519601706970128,0.18385572429993172,0.15062112787244478,0.13073922997767262
Leptomycin B,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,298,75,0.28406004268261975,0.3215362731152205,0.17462502566641355,0.13895165975934176,0.0545417361238375
Leptomycin B,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,299,74,0.25540175003020615,0.24798222880414655,0.16088332932926666,0.13231755260252845,0.011302807015368899
Leptomycin B,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,299,74,0.3381192151655975,0.35985190670122175,0.18495352179500446,0.14106873866436492,0.07558200223244049
KX2-391,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,284,71,0.4776834727328631,0.39919517102615687,0.14939844864794388,0.11967802925218289,0.19139282030324511
KX2-391,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,284,71,0.6141151027755567,0.5883684471069204,0.16861514159487298,0.13823567434676548,0.36051190873764816
