k_features,compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
1000,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,2,284,71,0.6921606950646658,0.6730941741867513,0.15638316531645216,0.12483022556824583,0.44992828118070005
1000,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,3,284,71,0.4112122459713893,0.3139168343393695,0.17041729368400843,0.13507395858772472,0.002084973390920064
1000,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,4,284,71,0.554467683343641,0.5623407109322602,0.16612508112006538,0.125648634260012,0.28547699391967096
1000,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,5,284,71,0.6484116344222883,0.6054996646545941,0.16810210453453953,0.13480088715843933,0.34384296819834825
250,KX2-391,RidgeSelectK,early_fusion,multiomics,1,284,71,0.517572708259924,0.4330650570087189,0.14819957143685097,0.11694819126828296,0.20431840387738798
250,KX2-391,RidgeSelectK,early_fusion,multiomics,2,284,71,0.6839119069942086,0.6833222948118646,0.1569829983897317,0.1274590128242089,0.44570040921343956
250,KX2-391,RidgeSelectK,early_fusion,multiomics,3,284,71,0.4960928844938556,0.35368879946344733,0.15742908703687736,0.12565017874992165,0.14839895111083712
250,KX2-391,RidgeSelectK,early_fusion,multiomics,4,284,71,0.5580901228487414,0.4908115358819584,0.16644702463941558,0.1300009901754069,0.2827048784769396
250,KX2-391,RidgeSelectK,early_fusion,multiomics,5,284,71,0.7077023952592797,0.6516096579476861,0.1632829270475358,0.13218635800670794,0.38092532218545816
500,KX2-391,RidgeSelectK,early_fusion,multiomics,1,284,71,0.5038488824748604,0.4237089201877934,0.15268992058474212,0.12199062379742585,0.15537067456690457
500,KX2-391,RidgeSelectK,early_fusion,multiomics,2,284,71,0.6798667151017115,0.6507935177418324,0.15770085949486656,0.12576169439265242,0.4406193505724002
500,KX2-391,RidgeSelectK,early_fusion,multiomics,3,284,71,0.47808046541012617,0.3532863849765258,0.16220549047314686,0.12989517170285678,0.09593983239648007
500,KX2-391,RidgeSelectK,early_fusion,multiomics,4,284,71,0.5850455831337482,0.551945003353454,0.1610819807254606,0.12030815717840662,0.3282004214030978
