compound,model_family,strategy,omics_layer,strategy_label,pearson,rmse,r2,single_model_family,single_omics_layer,best_single_pearson,best_single_rmse,best_single_r2,pearson_gain_vs_best_single,rmse_delta_vs_best_single
BI-2536,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.5974228837479343,0.16894989329941265,0.35248213316750904,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.04058985334777376,0.006113839200976218
BI-2536,XGBoost,metadata_augmented,expr_plus_lineage,Expression + lineage,0.5928860056041396,0.17128682293144473,0.3363655488598082,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.04512673149156843,0.008450768833008299
BI-2536,RidgeSelectK,signal_fusion,signal_multiomics,Focused fusion,0.5895999403439668,0.1702980252565987,0.3416349855418798,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.04841279675174126,0.007461971158162273
BI-2536,LightGBM,early_fusion,multiomics,Early fusion,0.5887688129677239,0.17150022251067376,0.3332784033390067,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.04924392412798417,0.008664168412237327
BI-2536,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.5873856073389176,0.17074080327175817,0.33849826777584946,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.0506271297567904,0.007904749173321735
BI-2536,ElasticNet,metadata_augmented,expr_plus_lineage,Expression + lineage,0.5864374888294451,0.17265028790716905,0.3257373654854934,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.05157524826626292,0.009814233808732614
BI-2536,ElasticNet,late_fusion,multiomics,Late fusion,0.5857096091390085,0.19285540844815835,0.15926921888542958,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.05230312795669956,0.030019354349721916
BI-2536,LightGBM,metadata_augmented,expr_plus_lineage,Expression + lineage,0.5827566037981018,0.17175538463099088,0.3309800261039232,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.05525613329760626,0.008919330532554448
BI-2536,XGBoost,early_fusion,multiomics,Early fusion,0.5813734154910641,0.1731604163790768,0.32192893436233205,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.05663932160464391,0.010324362280640376
BI-2536,XGBoost,signal_fusion,signal_multiomics,Focused fusion,0.5751038887108295,0.1738348586457099,0.31705264961775376,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06290884838487854,0.010998804547273477
BI-2536,RidgeSelectK,early_fusion,multiomics,Early fusion,0.5744977662630848,0.17239268140981082,0.3261078957233692,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06351497083262325,0.009556627311374383
BI-2536,LightGBM,signal_fusion,signal_multiomics,Focused fusion,0.5733494384680964,0.17374452623812728,0.31734599257007007,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06466329862761167,0.010908472139690845
BI-2536,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.5726225476120489,0.17264554395120296,0.32405698671288335,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06539018948365916,0.009809489852766529
BI-2536,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.5724617784818877,0.1744109684114308,0.31193228740341283,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06555095861382032,0.011574914312994372
BI-2536,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.5724578949687781,0.17442856341140037,0.3117646563459119,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06555484212692997,0.011592509312963933
BI-2536,ElasticNet,signal_fusion,signal_multiomics,Focused fusion,0.5724528911435713,0.17441190072243545,0.31192475243751583,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06555984595213671,0.01157584662399902
BI-2536,ElasticNet,early_fusion,multiomics,Early fusion,0.5724418196623955,0.1744306325178148,0.3117487073826447,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06557091743331256,0.01159457841937836
BI-2536,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.572387985005449,0.17409442182927598,0.31467880958015737,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06562475209025909,0.011258367730839547
BI-2536,LightGBM,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.5700286692946244,0.17393997349986895,0.31423526062681983,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.06798406780108368,0.011103919401432516
BI-2536,LightGBM,late_fusion,multiomics,Late fusion,0.5669277985107124,0.18448560491211025,0.22980429015557072,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.07108493858499565,0.021649550813673812
BI-2536,XGBoost,late_fusion,multiomics,Late fusion,0.566689931902775,0.1875457092933878,0.2045123314885183,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.0713228051929331,0.024709655194951358
BI-2536,LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.5666249992343285,0.1745685865193223,0.3100175735039105,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.07138773786137953,0.011732532420885872
BI-2536,XGBoost,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.5659312708358335,0.17514852632200004,0.30644834416262545,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.07208146625987455,0.012312472223563603
BI-2536,LightGBM,pathway_modules,multiomics_pathway,Pathway modules,0.561923144995218,0.17384792390338685,0.31277988881763186,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.07608959210049004,0.01101186980495042
BI-2536,RidgeCV,pathway_modules_lineage,multiomics_pathway,Pathway + lineage,0.5501742768860007,0.1757589961064065,0.2985926697992354,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.08783846020970731,0.012922942007970062
BI-2536,RidgeCV,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.5381199939490855,0.17967215799128633,0.2676094668727865,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.09989274314662255,0.016836103892849896
BI-2536,RidgeCV,early_fusion,multiomics,Early fusion,0.5374505023960066,0.1797954936231346,0.2665292197529988,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.10056223469970149,0.016959439524698167
BI-2536,RidgeCV,pathway_modules,multiomics_pathway,Pathway modules,0.5146527375347716,0.18029327072745133,0.26284250173571067,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.12335999956093646,0.017457216629014893
BI-2536,RidgeCV,late_fusion,multiomics,Late fusion,0.513958468703135,0.18613915171001968,0.2163688782373633,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.12405426839257305,0.02330309761158325
BI-2536,RidgeSelectK,late_fusion,multiomics,Late fusion,0.513958468703135,0.18613915171001968,0.2163688782373633,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.12405426839257305,0.02330309761158325
CAY10618,ElasticNet,signal_fusion,signal_multiomics,Focused fusion,0.4599892015331356,0.1655264053462275,0.1658220426031189,ElasticNet,expr,0.4530762711960142,0.1657987694439646,0.16293815243099036,0.006912930337121426,-0.00027236409773709336
CAY10618,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,Focused fusion + lineage,0.45900650406315624,0.1655832085356988,0.1652613358174574,ElasticNet,expr,0.4530762711960142,0.1657987694439646,0.16293815243099036,0.00593023286714206,-0.00021556090826579943
