compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,2,mut,0.06619801027508673,0.05758113242923194
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,3,cnv,0.18248863891656888,0.15146218035750977
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,3,expr,0.950998979814494,0.7893114873103078
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,3,meta,0.009805938903226105,0.008138747132714265
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,3,mut,0.061552685076759706,0.05108758519946808
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,4,cnv,0.18188221452369502,0.14914285588779855
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,4,expr,0.9544533873036928,0.7826488387940259
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,4,meta,0.008180138093241689,0.006707688049529975
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,4,mut,0.0750010343895434,0.06150061726864578
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,5,cnv,0.20032659321613086,0.16530273312914143
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,5,expr,0.9515195363172272,0.7851617573774308
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,5,meta,0.008340208457594256,0.006882058097097905
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,5,mut,0.051690740046392174,0.0426534513963299
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,1,expr,1.2370405460677192,0.9802028793168761
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,1,meta,0.024984461377513745,0.019797120683124007
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,2,expr,1.1845935785478905,0.9779064502162973
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,2,meta,0.026763170644097313,0.022093549783702586
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,3,expr,1.2257003044267332,0.976740394451572
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,3,meta,0.029188211896940576,0.023259605548427896
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,4,expr,1.248751476679619,0.9829174042362909
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,4,meta,0.021702654356829873,0.017082595763709026
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,5,expr,1.2328270476741574,0.9814160494776888
Vincristine,RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,5,meta,0.023344632349080546,0.018583950522311325
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,expr,1.2370405460677192,0.9802028793168761
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,meta,0.024984461377513745,0.019797120683124007
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,expr,1.1845935785478905,0.9779064502162973
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,meta,0.026763170644097313,0.022093549783702586
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,expr,1.2257003044267332,0.976740394451572
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,meta,0.029188211896940576,0.023259605548427896
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,expr,1.248751476679619,0.9829174042362909
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,meta,0.021702654356829873,0.017082595763709026
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,expr,1.2328270476741574,0.9814160494776888
Vincristine,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,meta,0.023344632349080546,0.018583950522311325
Vincristine,XGBoost,single_omics,expr,1,expr,1.0000000203726813,1.0
Vincristine,XGBoost,single_omics,expr,2,expr,1.0000000359723344,1.0
Vincristine,XGBoost,single_omics,expr,3,expr,1.0000000081490725,1.0
Vincristine,XGBoost,single_omics,expr,4,expr,0.9999999952269718,1.0
Vincristine,XGBoost,single_omics,expr,5,expr,1.0000000136496965,1.0
Vincristine,XGBoost,single_omics,mut,1,mut,1.0000000102445483,1.0
Vincristine,XGBoost,single_omics,mut,2,mut,1.0000000689178705,1.0
Vincristine,XGBoost,single_omics,mut,3,mut,1.0000000272411853,1.0
Vincristine,XGBoost,single_omics,mut,4,mut,1.0000000337604433,1.0
Vincristine,XGBoost,single_omics,mut,5,mut,1.0000000246800482,1.0
Vincristine,XGBoost,single_omics,cnv,1,cnv,1.0000000429572538,1.0
Vincristine,XGBoost,single_omics,cnv,2,cnv,0.9999999649589881,1.0
Vincristine,XGBoost,single_omics,cnv,3,cnv,0.9999999876599759,1.0
Vincristine,XGBoost,single_omics,cnv,4,cnv,0.9999999944120646,1.0
Vincristine,XGBoost,single_omics,cnv,5,cnv,1.0000000331783667,1.0
Vincristine,XGBoost,early_fusion,multiomics,1,cnv,0.2613403021823615,0.2613402986075397
Vincristine,XGBoost,early_fusion,multiomics,1,expr,0.7261451437952928,0.7261451338624986
Vincristine,XGBoost,early_fusion,multiomics,1,mut,0.012514567701146007,0.012514567529961737
Vincristine,XGBoost,early_fusion,multiomics,2,cnv,0.2077177760656923,0.20771778341687822
Vincristine,XGBoost,early_fusion,multiomics,2,expr,0.7897252778057009,0.7897253057542831
Vincristine,XGBoost,early_fusion,multiomics,2,mut,0.002556910738348961,0.002556910828838694
Vincristine,XGBoost,early_fusion,multiomics,3,cnv,0.22171648521907628,0.22171649676958707
Vincristine,XGBoost,early_fusion,multiomics,3,expr,0.7684891995158978,0.7684892395510029
Vincristine,XGBoost,early_fusion,multiomics,3,mut,0.009794263169169426,0.00979426367940998
Vincristine,XGBoost,early_fusion,multiomics,4,cnv,0.22944968077354133,0.22944966808559927
Vincristine,XGBoost,early_fusion,multiomics,4,expr,0.7682494024047628,0.7682493599226645
Vincristine,XGBoost,early_fusion,multiomics,4,mut,0.002300972118973732,0.0023009719917362445
Vincristine,XGBoost,early_fusion,multiomics,5,cnv,0.22772969561628997,0.22772970240316398
Vincristine,XGBoost,early_fusion,multiomics,5,expr,0.7627796625019982,0.7627796852346044
Vincristine,XGBoost,early_fusion,multiomics,5,mut,0.009490612079389393,0.009490612362231683
Vincristine,XGBoost,signal_fusion,signal_multiomics,1,expr,1.0000000203726813,1.0
Vincristine,XGBoost,signal_fusion,signal_multiomics,2,expr,1.0000000359723344,1.0
Vincristine,XGBoost,signal_fusion,signal_multiomics,3,expr,1.0000000081490725,1.0
Vincristine,XGBoost,signal_fusion,signal_multiomics,4,expr,0.9999999952269718,1.0
Vincristine,XGBoost,signal_fusion,signal_multiomics,5,expr,1.0000000136496965,1.0
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,1,cnv,0.2607324317796156,0.26073240783090357
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,1,expr,0.729633299051784,0.7296332320337393
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,1,meta,0.0,0.0
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,1,mut,0.009634361020289361,0.00963436013535711
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,2,cnv,0.1944501141551882,0.1944501330344252
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,2,expr,0.8055497887544334,0.8055498669655748
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,2,meta,0.0,0.0
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,2,mut,0.0,0.0
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,3,cnv,0.2014432477299124,0.201443254249313
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,3,expr,0.7919480461860076,0.7919480718161869
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,3,meta,0.0,0.0
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,3,mut,0.006608673720620573,0.006608673934500124
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,4,cnv,0.205073868855834,0.20507386907069766
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,4,expr,0.7932318662060425,0.7932318670371415
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,4,meta,0.0,0.0
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,4,mut,0.0016942638903856277,0.0016942638921607722
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,5,cnv,0.20252047310350463,0.20252046249408645
Vincristine,XGBoost,early_fusion_lineage,multiomics_plus_lineage,5,expr,0.7960338031989522,0.7960337614972153
