compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Oligomycin A,LightGBM,single_omics,cnv,3,406.0,102,0.2737355807262858,0.2922855963494693,0.24333191522857023,0.19184835693312371,0.05612794429141865
Oligomycin A,LightGBM,single_omics,cnv,4,407.0,101,0.36769048613790517,0.4004892253931275,0.20655323615871773,0.16786449563637473,0.1332232791715946
Oligomycin A,LightGBM,single_omics,cnv,5,407.0,101,0.3857768436651032,0.42528159911562063,0.23524253287622687,0.17672228481514485,0.14568300929718514
Oligomycin A,LightGBM,early_fusion,multiomics,1,406.0,102,0.4196385927958972,0.40233758745907566,0.2228336463073985,0.17497196237345095,0.17175281875371462
Oligomycin A,LightGBM,early_fusion,multiomics,2,406.0,102,0.22190561224063415,0.24688146759016497,0.2458667047669222,0.1909552539274857,-0.04066267633713161
Oligomycin A,LightGBM,early_fusion,multiomics,3,406.0,102,0.338157474602661,0.37533856184019315,0.2386597726284329,0.17365191965294738,0.0920259744457369
Oligomycin A,LightGBM,early_fusion,multiomics,4,407.0,101,0.44206576881960635,0.47192778101339544,0.20029997419978654,0.16115546044449822,0.18491102604091958
Oligomycin A,LightGBM,early_fusion,multiomics,5,407.0,101,0.48291534303621036,0.5203904530399986,0.222996936105165,0.1710252364153366,0.23231131047031872
Oligomycin A,LightGBM,signal_fusion,signal_multiomics,1,406.0,102,0.41371116697830324,0.42773778763146714,0.22372320920891003,0.1748735539851706,0.1651268122692131
Oligomycin A,LightGBM,signal_fusion,signal_multiomics,2,406.0,102,0.28337260204879827,0.2855761511155772,0.23900812361909105,0.18751075782119744,0.016587187459695008
Oligomycin A,LightGBM,signal_fusion,signal_multiomics,3,406.0,102,0.35230157790967653,0.3806198438233315,0.23719041362192597,0.17174647653428224,0.10317182312831397
Oligomycin A,LightGBM,signal_fusion,signal_multiomics,4,407.0,101,0.42034106417038325,0.44746651135701804,0.20282081214623596,0.1620164934526934,0.1642656236572292
Oligomycin A,LightGBM,signal_fusion,signal_multiomics,5,407.0,101,0.4610534262015399,0.500599890539384,0.2260181115165997,0.17409584384194146,0.21136901961240206
Oligomycin A,LightGBM,early_fusion_lineage,multiomics_plus_lineage,1,406.0,102,0.41719745570484407,0.4060922029787702,0.22330878908194612,0.1780911037513939,0.1682169503289227
Oligomycin A,LightGBM,early_fusion_lineage,multiomics_plus_lineage,2,406.0,102,0.2795704253591143,0.3109711275458894,0.23878600640976833,0.18515918872943674,0.018414166461042658
Oligomycin A,LightGBM,early_fusion_lineage,multiomics_plus_lineage,3,406.0,102,0.3425449085989858,0.3778039140293241,0.2389226247364508,0.1741297314022592,0.09002484696806135
Oligomycin A,LightGBM,early_fusion_lineage,multiomics_plus_lineage,4,407.0,101,0.42954371304329203,0.46535818287711117,0.20236693266449224,0.16420814833364483,0.16800190940461135
Oligomycin A,LightGBM,early_fusion_lineage,multiomics_plus_lineage,5,407.0,101,0.48786875768465277,0.5164882526646568,0.22245021727915584,0.17132787529814042,0.23607096177020193
Oligomycin A,LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,1,406.0,102,0.3906804196629595,0.39327901206366805,0.22619327881522203,0.17667858661390035,0.146589808697419
Oligomycin A,LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,2,406.0,102,0.2660633697090189,0.27316422208762453,0.2406993199176496,0.1871884149049852,0.002620898787291659
Oligomycin A,LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,3,406.0,102,0.34556921646596717,0.36202792180988513,0.23775727497335564,0.1717704758402278,0.09888004160203878
Oligomycin A,LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,4,407.0,101,0.4139184109937992,0.436924868957484,0.2038481687915001,0.16228793257273624,0.15577762087077307
Oligomycin A,LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,5,407.0,101,0.42044743518026884,0.4535754639266817,0.231058749027622,0.17977225205267336,0.1758008060672951
Oligomycin A,LightGBM,metadata_augmented,expr_plus_lineage,1,406.0,102,0.3906804196629595,0.39327901206366805,0.22619327881522203,0.17667858661390035,0.146589808697419
Oligomycin A,LightGBM,metadata_augmented,expr_plus_lineage,2,406.0,102,0.2660633697090189,0.27316422208762453,0.2406993199176496,0.1871884149049852,0.002620898787291659
Oligomycin A,LightGBM,metadata_augmented,expr_plus_lineage,3,406.0,102,0.34556921646596717,0.36202792180988513,0.23775727497335564,0.1717704758402278,0.09888004160203878
Oligomycin A,LightGBM,metadata_augmented,expr_plus_lineage,4,407.0,101,0.4139184109937992,0.436924868957484,0.2038481687915001,0.16228793257273624,0.15577762087077307
Oligomycin A,LightGBM,metadata_augmented,expr_plus_lineage,5,407.0,101,0.42044743518026884,0.4535754639266817,0.231058749027622,0.17977225205267336,0.1758008060672951
Oligomycin A,LightGBM,late_fusion,multiomics,1,,102,0.41230938330030087,0.39856035377359983,0.22649877870045035,0.18170471851579745,0.1442829958625813
Oligomycin A,LightGBM,late_fusion,multiomics,2,,102,0.3158590963770519,0.3464030853086007,0.23221725709885196,0.18115920602379848,0.07167612615444696
Oligomycin A,LightGBM,late_fusion,multiomics,3,,102,0.35619935722990886,0.39583038829296985,0.23705416232308857,0.18590352512392638,0.10420187240896495
Oligomycin A,LightGBM,late_fusion,multiomics,4,,101,0.440264123780799,0.4736983110075713,0.20199726398093573,0.1646489294244382,0.17103879609129546
Oligomycin A,LightGBM,late_fusion,multiomics,5,,101,0.4704199864770761,0.5092662698804419,0.23091196179307208,0.17781197206686605,0.17684766962166443
BI-2536,ElasticNet,single_omics,expr,1,429.0,108,0.5994403489179873,0.5653586365238599,0.16865651828396394,0.1311163202755981,0.3542485437731314
BI-2536,ElasticNet,single_omics,expr,2,429.0,108,0.6125747155620721,0.585841264397382,0.16769213439350417,0.13955454632889963,0.3425456843108914
BI-2536,ElasticNet,single_omics,expr,3,430.0,107,0.6307790845286552,0.601755520288407,0.19372720724156856,0.15961709635976318,0.33804336416947556
BI-2536,ElasticNet,single_omics,expr,4,430.0,107,0.7225274532189687,0.711563706185466,0.13944944810684504,0.11606171706291003,0.49075010997528756
BI-2536,ElasticNet,single_omics,expr,5,430.0,107,0.6035951416533886,0.6212210270577403,0.17470672397076328,0.13330389024846465,0.34559928021724173
BI-2536,ElasticNet,single_omics,mut,1,429.0,108,0.16340488645540066,0.07103694709591714,0.20801553592636832,0.1688244349702641,0.01768522309758691
BI-2536,ElasticNet,single_omics,mut,2,429.0,108,0.08278651263032831,0.023935433298560953,0.20817491979462846,0.17341494830368362,-0.013204261102138126
BI-2536,ElasticNet,single_omics,mut,3,430.0,107,0.12827733819642204,0.17103342151831155,0.2368551735040582,0.20349824390260973,0.010503972245444082
BI-2536,ElasticNet,single_omics,mut,4,430.0,107,0.2066863589203606,0.23918341043592498,0.19334971763582504,0.1615520011738082,0.020996084852814012
BI-2536,ElasticNet,single_omics,mut,5,430.0,107,0.15906942121266238,0.20414892841326052,0.21529281932915767,0.17322705485901543,0.006235180237579407
BI-2536,ElasticNet,single_omics,cnv,1,429.0,108,0.21557596743123839,0.3820153000466813,0.20543956836158145,0.16578920999610866,0.041863641084839864
BI-2536,ElasticNet,single_omics,cnv,2,429.0,108,0.3595596603031547,0.41221526765554883,0.20035768559573608,0.16648844734084345,0.06146125005424741
BI-2536,ElasticNet,single_omics,cnv,3,430.0,107,0.34962942588982404,0.377338897705676,0.22339655312058243,0.18884404814828223,0.11975971518140571
BI-2536,ElasticNet,single_omics,cnv,4,430.0,107,0.19111938417813462,0.30327788553850976,0.191819891120223,0.15806044575488457,0.03642699493966073
BI-2536,ElasticNet,single_omics,cnv,5,430.0,107,0.13649819379070527,0.3919355786751308,0.21939600640766993,0.17411035614384113,-0.03200538674405551
BI-2536,ElasticNet,early_fusion,multiomics,1,429.0,108,0.602389455493131,0.5722941495898711,0.16824211006909,0.13104613994558653,0.35741801440338705
BI-2536,ElasticNet,early_fusion,multiomics,2,429.0,108,0.6166118942616587,0.5927958310707174,0.16724036326080985,0.13957564113014895,0.34608334324744383
BI-2536,ElasticNet,early_fusion,multiomics,3,430.0,107,0.6356106853349627,0.6072023354689552,0.19333019483133396,0.15938407868564686,0.34075372907013723
BI-2536,ElasticNet,early_fusion,multiomics,4,430.0,107,0.7216837817869299,0.7072434804757147,0.13965175279272035,0.11582057366025782,0.4892714613235515
BI-2536,ElasticNet,early_fusion,multiomics,5,430.0,107,0.6035953014003311,0.6212210270577403,0.17470659522586057,0.13330408465987612,0.3456002446990206
BI-2536,ElasticNet,signal_fusion,signal_multiomics,1,429.0,108,0.5994403489179873,0.5653586365238599,0.16865651828396394,0.1311163202755981,0.3542485437731314
BI-2536,ElasticNet,signal_fusion,signal_multiomics,2,429.0,108,0.6125747155620721,0.585841264397382,0.16769213439350417,0.13955454632889963,0.3425456843108914
BI-2536,ElasticNet,signal_fusion,signal_multiomics,3,430.0,107,0.6307790845286552,0.601755520288407,0.19372720724156856,0.15961709635976318,0.33804336416947556
BI-2536,ElasticNet,signal_fusion,signal_multiomics,4,430.0,107,0.7225274532189687,0.711563706185466,0.13944944810684504,0.11606171706291003,0.49075010997528756
BI-2536,ElasticNet,signal_fusion,signal_multiomics,5,430.0,107,0.6035951416533886,0.6212210270577403,0.17470672397076328,0.13330389024846465,0.34559928021724173
BI-2536,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,429.0,108,0.602383476886472,0.5721798279459259,0.16824299335618237,0.13104688665933079,0.3574112671524954
BI-2536,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,429.0,108,0.6165976867767085,0.5929292063219869,0.16724236754007174,0.13957767707028393,0.34606766952583545
BI-2536,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,430.0,107,0.6356271167607201,0.6072023354689552,0.19332800649723306,0.1593816371234221,0.34076865320479743
BI-2536,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,430.0,107,0.721672247783474,0.7072434804757147,0.13965357245024496,0.11582095384876305,0.48925815168633513
BI-2536,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,430.0,107,0.6035934414060119,0.6212210270577403,0.17470645497188156,0.13330466037389832,0.34560129539928275
BI-2536,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,1,429.0,108,0.5994343135801832,0.5653586365238599,0.16865742171166034,0.13111733024319014,0.3542416256733275
BI-2536,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,2,429.0,108,0.6125810794800355,0.585841264397382,0.16769132280418866,0.13955372648908654,0.3425520481347971
BI-2536,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,3,430.0,107,0.6307782133877406,0.601755520288407,0.1937273637126773,0.15961720387094488,0.3380422948603987
BI-2536,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,430.0,107,0.7225332033801352,0.711563706185466,0.13944854475657012,0.1160610009715936,0.49075670777175595
BI-2536,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,430.0,107,0.6035863543637704,0.6212210270577403,0.17470772229645834,0.1333036732764166,0.3455918013188324
BI-2536,ElasticNet,metadata_augmented,expr_plus_lineage,1,429.0,108,0.5994343135801832,0.5653586365238599,0.16865742171166034,0.13111733024319014,0.3542416256733275
BI-2536,ElasticNet,metadata_augmented,expr_plus_lineage,2,429.0,108,0.6125810794800355,0.585841264397382,0.16769132280418866,0.13955372648908654,0.3425520481347971
BI-2536,ElasticNet,metadata_augmented,expr_plus_lineage,3,430.0,107,0.6307782133877406,0.601755520288407,0.1937273637126773,0.15961720387094488,0.3380422948603987
BI-2536,ElasticNet,metadata_augmented,expr_plus_lineage,4,430.0,107,0.7225332033801352,0.711563706185466,0.13944854475657012,0.1160610009715936,0.49075670777175595
BI-2536,ElasticNet,metadata_augmented,expr_plus_lineage,5,430.0,107,0.6035863543637704,0.6212210270577403,0.17470772229645834,0.1333036732764166,0.3455918013188324
BI-2536,ElasticNet,late_fusion,multiomics,1,,108,0.578682834568674,0.5861270685072452,0.1864590977884428,0.1493810691675286,0.2107287380985592
BI-2536,ElasticNet,late_fusion,multiomics,2,,108,0.6200673401485579,0.5954633360961064,0.18656855733061944,0.15702069563328372,0.1862010931114053
BI-2536,ElasticNet,late_fusion,multiomics,3,,107,0.6329090131217863,0.6421559983541998,0.21233845725115386,0.18053272421068492,0.20474644361585848
BI-2536,ElasticNet,late_fusion,multiomics,4,,107,0.6837634079733108,0.6616704872744372,0.16940029820476307,0.14291795231750076,0.2485057096791563
BI-2536,ElasticNet,late_fusion,multiomics,5,,107,0.5404157716442372,0.5973765159975705,0.19566202825230566,0.15588646764486938,0.17919946564953138
