model_family,strategy,omics_layer,pearson_5-omics (389),r2_5-omics (389),rmse_5-omics (389),n_folds_5-omics (389),pearson_no-prot (508),r2_no-prot (508),rmse_no-prot (508),n_folds_no-prot (508),pearson_no-prot-no-meth (574),r2_no-prot-no-meth (574),rmse_no-prot-no-meth (574),n_folds_no-prot-no-meth (574),delta_pearson_no-prot_vs_5-omics,delta_pearson_no-meth_vs_no-prot,delta_pearson_no-meth_vs_5-omics,delta_r2_no-meth_vs_5-omics
XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5277355134723828,0.2624292086827114,0.1761581628517168,60,0.5632094786825071,0.3096702861553066,0.1718811730460728,60.0,0.5952722930869491,0.3501183483522617,0.16886169944841034,60.0,0.03547396521012436,0.03206281440444192,0.06753677961456628,0.08768913966955028
XGBoost,metadata_augmented,expr_plus_lineage,0.5330782012636537,0.27059357568311365,0.1752018296620162,60,0.5654343830971011,0.3127165155628393,0.17151565788880113,60.0,0.5952722930869491,0.3501183483522617,0.16886169944841034,60.0,0.03235618183344746,0.02983790998984792,0.06219409182329538,0.07952477266914804
XGBoost,signal_fusion,signal_multiomics,0.5271958381902344,0.2627330975878878,0.17615016273975317,60,0.5604624427323558,0.3072776689496448,0.17217196552995181,60.0,0.5941453688774286,0.34928334031196423,0.1689772449318084,60.0,0.03326660454212138,0.033682926145072845,0.06694953068719423,0.08655024272407641
XGBoost,single_omics,expr,0.5342212505670381,0.2709171627681207,0.17518121944638398,60,0.5655434177770652,0.313170464750642,0.17141640509731404,60.0,0.5941453688774286,0.34928334031196423,0.1689772449318084,60.0,0.03132216721002712,0.028601951100363454,0.05992411831039057,0.07836617754384351
LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5194959915604943,0.25837929924555775,0.17658831098587482,60,0.558586635399704,0.31048950837978023,0.17158620199050556,60.0,0.5925740998980772,0.35347031636083764,0.16820468766935653,60.0,0.03909064383920968,0.0339874644983732,0.07307810833758288,0.0950910171152799
LightGBM,metadata_augmented,expr_plus_lineage,0.528320599650414,0.2681170673545706,0.17547243217190814,60,0.5689673207131402,0.3218039140605402,0.17007584212752977,60.0,0.5925740998980772,0.35347031636083764,0.16820468766935653,60.0,0.040646721062726154,0.023606779184937032,0.06425350024766319,0.08535324900626706
ElasticNet,signal_fusion,signal_multiomics,0.5219447228080337,0.24736264274382727,0.17803948082065382,60,0.5548258517162633,0.28441967938949075,0.17504452190025538,60.0,0.5820048225019365,0.3196375636833361,0.1728040054102443,60.0,0.032881128908229584,0.027178970785673218,0.0600600996939028,0.07227492093950885
ElasticNet,single_omics,expr,0.5251295011002769,0.24356534452892506,0.17818398772152727,60,0.5560088160949008,0.28948889534863465,0.17418648707418827,60.0,0.5820048225019365,0.3196375636833361,0.1728040054102443,60.0,0.03087931499462393,0.0259960064070357,0.05687532140165963,0.07607221915441106
ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5218405599328473,0.24725637332645714,0.17805273198207947,60,0.5547052350128189,0.28668405860214125,0.17481649932217405,60.0,0.5800679036098367,0.31764471498676905,0.17302836916316883,60.0,0.032864675079971595,0.025362668597017857,0.05822734367698945,0.07038834166031191
ElasticNet,metadata_augmented,expr_plus_lineage,0.5248452176751821,0.24321387088525356,0.17822009511040415,60,0.5558007773093708,0.2890264096810624,0.1742655881337725,60.0,0.5800679036098367,0.31764471498676905,0.17302836916316883,60.0,0.030955559634188723,0.024267126300465902,0.055222685934654625,0.07443084410151549
